"","ï..Protocol","Sheet","Data.Set","Input.Gate","X.Parameter","Y.Parameter","Gate","Number","X.Total","X.Gated","X.Med","X.AMean","X.Mode","X.Stdev","X.CV","HP.X.CV","X.Min","X.Max","X.GMean","Y.Med","Y.AMean","Y.Mode","Y.Stdev","Y.CV","HP.Y.CV","Y.Min","Y.Max","Y.GMean","Logic"
"7154","panel3","treg","CTCL051SC 01AB skin panel3 00026176 2017-03-29 099","[tumour]","foxp3","cd25","O--",NA,NA,"65.27","1.40","1.44","","0.54","37.08",NA,NA,NA,"1.37","0.40","0.40",NA,"0.19","47.34",NA,NA,NA,"0.39",""
"7155","panel3","treg","CTCL051SC 01AB skin panel3 00026176 2017-03-29 099","[tumour]","foxp3","cd25","O-+",NA,NA,"30.00","1.66","1.74","","0.64","36.87",NA,NA,NA,"1.64","1.29","1.95",NA,"1.89","96.82",NA,NA,NA,"1.52",""
"7156","panel3","treg","CTCL051SC 01AB skin panel3 00026176 2017-03-29 099","[tumour]","foxp3","cd25","O+-",NA,NA,"1.59","6.75","25.24","","134.19","531.57",NA,NA,NA,"7.22","0.40","0.42",NA,"0.20","46.91",NA,NA,NA,"0.40",""
"7157","panel3","treg","CTCL051SC 01AB skin panel3 00026176 2017-03-29 099","[tumour]","foxp3","cd25","O++",NA,NA,"3.13","6.67","8.10","","4.91","60.62",NA,NA,NA,"7.07","2.49","3.40",NA,"2.91","85.42",NA,NA,NA,"2.52",""
"7158","panel3","treg","CTCL051SC 01AB skin panel3 00026176 2017-03-29 099","[tcrvb_pos_blood]","foxp3","cd25","All",NA,NA,"100.00","1.80","2.89","","29.35","1014.65",NA,NA,NA,"1.84","0.30","0.44",NA,"0.62","139.49",NA,NA,NA,"0.37",""
"7159","panel3","treg","CTCL051SC 01AB skin panel3 00026176 2017-03-29 099","[tcrvb_pos_blood]","foxp3","cd25","P--",NA,NA,"86.48","1.74","1.77","","0.56","31.72",NA,NA,NA,"1.69","0.27","0.29",NA,"0.18","63.44",NA,NA,NA,"0.28",""
"7160","panel3","treg","CTCL051SC 01AB skin panel3 00026176 2017-03-29 099","[tcrvb_pos_blood]","foxp3","cd25","P-+",NA,NA,"8.35","2.01","2.06","","0.59","28.55",NA,NA,NA,"1.97","1.07","1.37",NA,"1.07","78.02",NA,NA,NA,"1.20",""
"7161","panel3","treg","CTCL051SC 01AB skin panel3 00026176 2017-03-29 099","[tcrvb_pos_blood]","foxp3","cd25","P+-",NA,NA,"2.07","5.49","46.21","","199.17","431.03",NA,NA,NA,"6.39","0.37","0.36",NA,"0.22","60.93",NA,NA,NA,"0.35",""
"7162","panel3","treg","CTCL051SC 01AB skin panel3 00026176 2017-03-29 099","[tcrvb_pos_blood]","foxp3","cd25","P++",NA,NA,"3.10","7.14","7.49","","3.18","42.46",NA,NA,NA,"6.85","1.90","2.31",NA,"1.36","58.80",NA,NA,NA,"1.96",""
"7163","panel3","treg","CTCL051SC 01AB skin panel3 00026176 2017-03-29 099","[cd4blood]","foxp3","cd25","All",NA,NA,"100.00","1.76","2.19","","12.73","581.66",NA,NA,NA,"1.81","0.58","0.71",NA,"0.65","91.38",NA,NA,NA,"0.61",""
"7164","panel3","treg","CTCL051SC 01AB skin panel3 00026176 2017-03-29 099","[cd4blood]","foxp3","cd25","Q--",NA,NA,"65.33","1.68","1.73","","0.57","32.98",NA,NA,NA,"1.65","0.43","0.42",NA,"0.20","46.17",NA,NA,NA,"0.41",""
"7165","panel3","treg","CTCL051SC 01AB skin panel3 00026176 2017-03-29 099","[cd4blood]","foxp3","cd25","Q-+",NA,NA,"28.51","1.78","1.85","","0.65","35.20",NA,NA,NA,"1.75","1.02","1.18",NA,"0.58","48.96",NA,NA,NA,"1.11",""
"7166","panel3","treg","CTCL051SC 01AB skin panel3 00026176 2017-03-29 099","[cd4blood]","foxp3","cd25","Q+-",NA,NA,"1.95","4.81","13.35","","90.05","674.60",NA,NA,NA,"5.28","0.44","0.43",NA,"0.20","47.77",NA,NA,NA,"0.41",""
"7167","panel3","treg","CTCL051SC 01AB skin panel3 00026176 2017-03-29 099","[cd4blood]","foxp3","cd25","Q++",NA,NA,"4.22","5.60","6.40","","2.71","42.28",NA,NA,NA,"5.90","1.73","2.17",NA,"1.51","69.25",NA,NA,NA,"1.82",""
"7168","panel3","treg","CTCL051SC 01AB skin panel3 00026176 2017-03-29 099","[cd4skin]","foxp3","cd25","All",NA,NA,"100.00","2.02","3.74","","14.67","392.31",NA,NA,NA,"2.46","0.95","1.99",NA,"2.93","147.61",NA,NA,NA,"1.14",""
"7169","panel3","treg","CTCL051SC 01AB skin panel3 00026176 2017-03-29 099","[cd4skin]","foxp3","cd25","R--",NA,NA,"39.32","1.49","1.57","","0.61","38.82",NA,NA,NA,"1.48","0.43","0.42",NA,"0.19","45.35",NA,NA,NA,"0.41",""
"7170","panel3","treg","CTCL051SC 01AB skin panel3 00026176 2017-03-29 099","[cd4skin]","foxp3","cd25","R-+",NA,NA,"34.35","1.94","2.03","","0.73","36.08",NA,NA,NA,"1.91","1.50","2.33",NA,"2.47","106.06",NA,NA,NA,"1.74",""
